"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"89",156,190,NA,45,2.987,2.3744038156,3.175,1.258,33,NA,0.188,4.161,6.291,6.679,6.175,3,51,0.65,NA,NA,0.06,0,"4","F2"
"1069",160,183,0.0112,32,NA,NA,NA,NA,15,NA,NA,2.046,4.234,4.205,4.178,3,34,0.44,NA,NA,NA,1,"42","F2"
"671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.291,5.213,4.972,5.294,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"540",172,195,0.0153,34,1.211,1.5686528497,1.624,0.772,20,NA,0.413,1.85,2.211,2.997,3.947,2,35,0.57,NA,NA,0.34,0,"21","F2"
"310",NA,NA,NA,NA,0.498,1.2835051546,0.76,0.388,NA,NA,0.262,1.213,0,1.409,1.183,NA,NA,NA,NA,NA,0.53,NA,"12","F2"
"361",NA,NA,NA,NA,1.013,1.6939799331,1.013,0.598,NA,NA,0,1.074,1.74,2.074,1.888,NA,NA,NA,NA,NA,0,NA,"14","F2"
"614",NA,NA,NA,NA,0.712,1.2361111111,1.049,0.576,NA,NA,0.337,1.868,2.499,1.633,2.252,NA,NA,NA,NA,NA,0.47,NA,"24","F2"
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.247,4.434,4.683,4.664,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.969,1.521,1.568,2.936,NA,NA,NA,NA,NA,NA,NA,"19","F2"
"177",168,187,NA,32,1.73,2.0092915215,1.73,0.861,23,NA,0,2.499,3.698,3.976,3.725,5,38,0.61,NA,NA,0,1,"7","F2"
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.229,2.511,2.221,3.578,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"976",165,190,NA,37,NA,NA,NA,NA,21,NA,NA,1.937,2.828,3.334,3.286,2,33,0.64,NA,NA,NA,1,"38","F2"
"930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.225,3.042,3.309,4.421,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"442",170,195,0.0053,32,1.713,1.4578723404,2.199,1.175,23,NA,0.486,2.113,4.018,4.581,3.995,2,37,0.62,2.89,1.437,0.28,2,"17","F2"
"555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,1.575,1.94,1.809,NA,NA,NA,NA,NA,NA,NA,"22","F2"
"375",168,186,NA,27,1.277,1.407938258,1.763,0.907,18,4.5008,0.486,1.953,3.761,3.356,3.205,1,31,0.58,NA,NA,0.38,2,"15","F2"
"145",168,197,0.0094,31,0.887,1.4057052298,1.227,0.631,18,NA,0.34,1.687,3.304,3.167,3.458,2,32,0.56,NA,NA,0.38,0,"6","F2"
"466",172,200,0.0098,31,1.499,1.7229885057,1.893,0.87,17,4.649,0.394,2.536,3.606,3.813,3.33,1,32,0.53,2.289,1,0.26,0,"18","F2"
