"","B.T","F.T","W.S","P.H","Lam","LLW","L.L","L.W","N.L","Pet","Pti","RD1","RD2","RD3","RD4","Ssh","S.H","SLD","SLL","SLW","P.L","Gsh","Tray","Gen"
"200",168,190,0.0225,38,1.495,1.8924050633,1.495,0.79,17,NA,0,2.123,3.217,3.261,5.684,3,39,0.44,NA,NA,0,1,"8","F2"
"827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976,1.802,1.058,1.187,NA,NA,NA,NA,NA,NA,NA,"32","F2"
"439",160,193,NA,50,1.095,1.431372549,1.356,0.765,23,NA,0.261,1.566,2.858,2.912,3.25,0,48,0.48,2.797,1.617,0.24,0,"17","F2"
"1075",168,203,0.0099,37,NA,NA,NA,NA,26,NA,NA,1.702,3.727,4.169,4.026,4,35,0.74,3.163,1.152,NA,3,"42","F2"
"483",160,176,0.0076,25,NA,NA,NA,NA,14,NA,NA,1.063,2.636,2.784,3.888,1,28,0.5,NA,NA,NA,2,"19","F2"
"173",167,194,NA,33.5,1.811,2.2139364303,2.211,0.818,24,NA,0.4,2.59,4.121,4.238,4.457,5,38,0.63,NA,NA,0.22,2,"7","F2"
"428",156,178,0.0199,25,1.797,1.6825842697,1.995,1.068,15,NA,0.198,2.409,4.296,3.985,4.061,2,29,0.52,NA,NA,0.11,0,"17","F2"
"810",170,195,NA,25.5,NA,NA,NA,NA,14,NA,NA,1.756,3.108,3.383,3.951,4,30,0.47,2.911,1.099,NA,0,"32","F2"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.211,3.894,4.314,4.243,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"608",160,190,NA,34.5,1.803,1.6287262873,1.908,1.107,24,NA,0.105,2.177,4.193,4.163,4.505,3,41,0.59,3.185,1.534,0.06,0,"24","F2"
"281",166,195,NA,19.5,1.225,1.7400568182,1.63,0.704,23,NA,0.405,2.452,3.057,3.353,3.728,2,21,1.1,NA,NA,0.33,1,"11","F2"
"575",NA,NA,NA,NA,1.247,2.1537132988,1.43,0.579,NA,NA,0.183,1.411,2.283,2.437,2.429,NA,NA,NA,NA,NA,0.15,NA,"23","F2"
"905",170,189,0.0132,29,NA,NA,NA,NA,15,NA,NA,2.208,3.006,3.373,3.585,2,26,0.58,2.481,1.329,NA,1,"35","F2"
"490",161,181,0.0207,21,NA,NA,NA,NA,21,NA,NA,1.192,2.587,2.582,3.217,5,28,0.75,2.601,1.267,NA,1,"19","F2"
"813",181,194,NA,37,NA,NA,NA,NA,21,NA,NA,1.602,3.353,3.118,3.783,3,40,0.53,3.267,1.411,NA,0,"32","F2"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.074,4.096,4.168,3.552,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"724",154,179,0.011,32,NA,NA,NA,NA,19,NA,NA,2.46,4.04,3.981,4.751,1,35,0.54,NA,NA,NA,2,"28","F2"
"699",167,190,0.0084,38,NA,NA,NA,NA,20,NA,NA,1.507,3.099,4.085,3.063,1,40,0.5,NA,NA,NA,2,"27","F2"
"717",165,195,0.0202,44,NA,NA,NA,NA,24,NA,NA,2.092,3.31,3.181,3.746,3,43,0.56,NA,NA,NA,2,"28","F2"
"969",160,NA,0.0065,NA,NA,NA,NA,NA,26,NA,NA,2.054,3.184,3.777,3.456,3,50,0.52,NA,NA,NA,1,"38","F2"
"383",170,190,0.0229,26,2.084,1.8507992895,2.485,1.126,15,5.7766,0.401,3.136,3.893,3.753,3.522,2,26,0.58,NA,NA,0.19,1,"15","F2"
"201",170,195,NA,37,1.45,1.41187926,1.75,1.027,19,NA,0.3,1.682,3.294,3.737,3.987,4,38,0.5,3.436,1.682,0.21,2,"8","F2"
"883",153,186,NA,39,NA,NA,NA,NA,22,NA,NA,2.358,4.699,4.919,4.935,3,42,0.52,NA,NA,NA,0,"34","F2"
"1077",155,173,0.0079,19.5,NA,NA,NA,NA,15,NA,NA,1.466,2.609,2.287,3.201,16,20,0.75,NA,NA,NA,0,"42","F2"
"1058",160,176,0.0053,25,1.359,1.8168449198,1.51,0.748,22,NA,0.151,1.975,3.541,3.83,4.415,5,30,0.73,NA,NA,0.11,0,"41","F2"
"758",159,179,0.0033,25.5,1.056,1.4789915966,1.542,0.714,21,NA,0.486,1.896,3.776,3.946,4.384,3,34,0.62,NA,NA,0.46,0,"30","F2"
"514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.522,5.466,4.921,5.492,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1104",159,186,0.0127,37,NA,NA,NA,NA,26,NA,NA,2.867,4.948,4.585,4.407,4,43,0.6,NA,NA,NA,0,"43","F2"
"745",158,178,NA,27,NA,NA,NA,NA,17,NA,NA,2.016,3.187,3.414,3.749,2,29,0.59,NA,NA,NA,0,"29","F2"
"239",168,187,0.0114,25,NA,NA,NA,NA,17,5.1092,NA,3.881,6.314,6.398,6.08,1,30,0.57,2.866,1.396,NA,0,"10","F2"
"704",155,178,NA,34,NA,NA,NA,NA,21,NA,NA,2.636,2.806,3.229,3.498,3,39,0.54,NA,NA,NA,0,"28","F2"
"762",168,188,NA,30,0.939,1.2654986523,1.39,0.742,12,NA,0.451,1.682,2.499,2.773,3.501,2,29,0.41,3.016,1.27,0.48,1,"30","F2"
"253",162,190,0.008,45,NA,NA,NA,NA,21,5.3578,NA,1.316,1.929,1.521,1.593,3,38,0.55,2.979,1.672,NA,1,"10","F2"
"292",162,190,NA,39,1.41,1.8774966711,1.893,0.751,17,NA,0.483,1.925,4.439,4.818,4.79,3,36,0.47,2.687,1.537,0.34,1,"12","F2"
"674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.641,3.909,4.258,4.863,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"1042",159,181,0.0126,34,1.309,1.717847769,1.575,0.762,18,NA,0.266,1.514,3.012,3.164,4.239,1,29,0.62,NA,NA,0.2,0,"41","F2"
"176",161,182,NA,20,1.719,1.819047619,1.919,0.945,14,NA,0.2,1.929,4.356,4.499,4.891,4,24,0.58,2.987,1.41,0.12,0,"7","F2"
"1116",154,176,0.0457,24,NA,NA,NA,NA,10,NA,NA,1.712,2.888,2.862,3.239,2,30,0.33,NA,NA,NA,0,"43","F2"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,4.593,5.285,4.897,NA,NA,NA,NA,NA,NA,NA,NA,"F2"
"471",158,178,0.0139,21,NA,NA,NA,NA,21,NA,NA,1.908,3.383,3.728,3.73,2,28,0.75,2.409,1.247,NA,0,"19","F2"
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.928,3.557,3.67,4.056,NA,NA,NA,NA,NA,NA,NA,"10","F2"
"481",165,187,0.0195,33,NA,NA,NA,NA,17,NA,NA,1.361,2.025,1.651,2.999,2,35,0.49,3.078,1.396,NA,0,"19","F2"
"563",161,193,NA,43,NA,NA,NA,NA,24,NA,NA,2.453,3.765,3.033,4.547,3,45,0.53,NA,NA,NA,0,"22","F2"
