ID,DNA,RADseq_pool_100bp,RADseq_pool_150bp,Adapter_100bp,Adapter_150bp,W.S,CSr,P.H,L.L,L.W,Pti,Lam,LLW,P.L,L.M,N.L,S.H,Gsh,Ssh,SLD,Gen,B.T,F.T,SLL,SLW,Pet,FSr,Rot,Sht,RSR,RD1,RD2,RD3,RD4,Replanted,Block,Tray,Cross,TrayBlock
427,23.3,27,27,2,2,0.00102386363636362,1,39.5,2.379,1.343,NA,2.379,1.771407,NA,1,37,48,NA,4,0.77,F2,165,190,NA,NA,NA,NA,NA,NA,NA,3.061,4.909,4.706,5.52,NA,NA,17,3,17
387,47.9,18,18,16,16,NA,1,NA,1.085,0.614,0.289,0.796,1.296417,0.36,1,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,4.7042,NA,NA,NA,NA,1.247,1.505,1.278,1.876,1,NA,15,3,15
542,23.6,21,21,20,20,0.0072,1,39.5,1.51,0.891,0.253,1.257,1.410774,0.2,1,29,46,NA,5,0.63,F2,170,190,NA,NA,NA,NA,NA,NA,NA,2.304,3.59,3.108,3.691,NA,NA,21,3,21
111,12.9,10,10,20,20,NA,1,NA,1.255,0.806,0.07,1.185,1.470223,0.06,2,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.378,1.422,1.609,2.097,NA,NA,5,2,5
615,15.6,11,11,13,13,NA,1,30,1.646,0.7,0.257,1.389,1.984286,0.19,2,16,35,NA,2,0.46,F2,160,181,2.603,1.316,NA,NA,NA,NA,NA,1.952,3.212,2.939,3.872,NA,NA,24,2,24
1004,18,11,11,11,11,NA,1,NA,0.804,0.488,0.083,0.721,1.477459,0.12,1,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18,1.782,1.331,2.29,1,NA,39,3,39
575,24.1,37,37,7,7,NA,1,NA,1.43,0.579,0.183,1.247,2.153713,0.15,1,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411,2.283,2.437,2.429,NA,NA,23,3,23
127,17.1,10,10,19,19,NA,1,NA,1.367,0.508,0.42,0.947,1.864173,0.44,2,10,38,1,3,0.26,F2,170,NA,3.262,1.449,NA,NA,NA,NA,NA,1.607,2.568,2.817,2.745,NA,NA,5,2,5
803,20.6,31,48,8,12,0.0092,1,26,NA,NA,NA,NA,NA,NA,NA,21,31,NA,2,0.68,F2,167,187,NA,NA,NA,NA,NA,NA,NA,2.556,3.469,3.242,4.836,NA,NA,31,2,31
1008,30.2,12,12,4,4,0.0162,1,26,1.238,0.737,0.104,1.134,1.53867,0.09,1,14,27,NA,2,0.52,F2,167,183,2.825,1.19,NA,NA,NA,NA,NA,1.457,2.651,2.799,3.532,NA,NA,39,3,39
690,38.3,28,28,3,3,0.0052,1,47,NA,NA,NA,NA,NA,NA,NA,25,43,1,4,0.58,F2,167,195,2.652,1.43,NA,NA,NA,NA,NA,1.782,3.625,2.402,4.196,NA,NA,27,3,27
51,12.5,14,14,4,4,NA,1,NA,1.261,0.655,0.094,1.167,1.781679,0.08,1,NA,NA,NA,NA,NA,F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.384,2.744,2.488,2.958,NA,NA,2,2,2
242,17.1,21,47,3,16,0.00361363636363629,1,36,NA,NA,NA,NA,NA,NA,NA,28,38,NA,5,0.74,F2,155,181,1.856,1.17,4.0658,NA,NA,NA,NA,2.689,4.35,4.321,5.096,NA,NA,10,2,10
763,12.8,44,44,16,16,0.0173,1,16,1.621,0.961,0.333,1.288,1.340271,0.26,1,15,20,NA,6,0.75,F2,154,173,NA,NA,NA,NA,NA,NA,NA,1.74,3.325,3.319,3.844,NA,NA,30,2,30
